sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-GV-A3JX-01	-1690.006844	-339.1920275	-2029.198872
TCGA-GV-A3JZ-01	-876.7996489	-833.2668538	-1710.066503
TCGA-GV-A3QF-01	-2075.047903	-1283.748747	-3358.79665
TCGA-GV-A3QG-01	929.9532152	1800.017393	2729.970608
TCGA-GV-A3QH-01	-2626.291111	-1439.119901	-4065.411012
TCGA-GV-A3QI-01	-2149.791701	-1803.200702	-3952.992403
TCGA-GV-A3QK-01	-1819.567677	-94.94836364	-1914.51604
TCGA-GV-A40E-01	-1103.452589	-501.5169401	-1604.969529
TCGA-GV-A40G-01	-2223.478181	-1366.53756	-3590.015741
TCGA-GV-A6ZA-01	-1917.775509	-606.8235998	-2524.599108
TCGA-H4-A2HO-01	-1227.897716	-537.4661946	-1765.363911
TCGA-H4-A2HQ-01	-2210.833549	-1177.695062	-3388.52861
TCGA-HQ-A2OE-01	-2188.073552	-1275.230545	-3463.304097
TCGA-HQ-A2OF-01	-2028.799857	-1608.129252	-3636.929109
TCGA-HQ-A5ND-01	-2209.954603	-907.8664777	-3117.821081
TCGA-HQ-A5NE-01	-979.638477	-433.9517663	-1413.590243
TCGA-K4-A3WS-01	638.6570989	164.8971465	803.5542454
TCGA-K4-A3WU-01	-320.0382681	491.6532495	171.6149815
TCGA-K4-A3WV-01	-1752.760955	-1598.964842	-3351.725798
TCGA-K4-A4AB-01	-335.7940582	-336.7111307	-672.5051889
TCGA-K4-A4AC-01	-1167.768478	66.2356123	-1101.532865
TCGA-K4-A54R-01	-324.597673	335.7068846	11.10921151
TCGA-K4-A5RH-01	502.767645	1591.5845	2094.352145
TCGA-K4-A5RI-01	-1173.016164	-647.2262842	-1820.242448
TCGA-K4-A5RJ-01	161.2689859	1959.114178	2120.383164
TCGA-K4-A6FZ-01	-1440.195679	-32.58295953	-1472.778639
TCGA-K4-A6MB-01	-865.0624303	-967.49776	-1832.56019
TCGA-K4-A83P-01	643.5953341	1541.164858	2184.760192
TCGA-K4-AAQO-01	-52.29423853	-234.6046405	-286.8988791
TCGA-KQ-A41N-01	-1672.929324	-1532.764968	-3205.694292
TCGA-KQ-A41O-01	-2909.859105	-2056.260294	-4966.119399
TCGA-KQ-A41P-01	-530.1360867	-445.6719685	-975.8080552
TCGA-KQ-A41Q-01	-1909.096805	-1251.457027	-3160.553832
TCGA-KQ-A41R-01	-1789.252319	-1244.124231	-3033.37655
TCGA-KQ-A41S-01	-163.7916654	-659.1693782	-822.9610436
TCGA-LC-A66R-01	-879.0247118	476.0464684	-402.9782434
TCGA-LT-A5Z6-01	-2211.83848	-851.7025533	-3063.541033
TCGA-LT-A8JT-01	-1925.540308	-714.3925871	-2639.932895
TCGA-MV-A51V-01	-1608.386525	-1284.332998	-2892.719523
TCGA-PQ-A6FI-01	-1731.757448	-374.7688209	-2106.526269
TCGA-PQ-A6FN-01	-1102.357396	-262.9870346	-1365.344431
TCGA-R3-A69X-01	35.58426049	237.4735776	273.0578381
TCGA-S5-A6DX-01	-91.3288071	942.4687106	851.1399035
TCGA-S5-AA26-01	-2274.638279	-1379.412415	-3654.050695
TCGA-SY-A9G0-01	609.6474695	-325.4794211	284.1680484
TCGA-SY-A9G5-01	185.8211273	720.3600627	906.18119
TCGA-UY-A78K-01	-1031.800799	743.9509928	-287.8498065
TCGA-UY-A78L-01	-827.1698854	-589.9955483	-1417.165434
TCGA-UY-A78M-01	-841.336579	-1092.397378	-1933.733957
TCGA-UY-A78N-01	-1739.840578	-1746.508165	-3486.348744
TCGA-UY-A78O-01	-1391.246706	-988.3645931	-2379.611299
